,Model,Feature_Selection,fit_time,score_time,test_profit_0.5,train_profit_0.5,test_profit_0.6,train_profit_0.6,test_profit_0.7,train_profit_0.7,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
16,gb_k_best_f,k_best_f,15.755198240280151,0.04114413261413574,-0.8892671394799055,-0.8596842283012496,-0.9555352921310367,-0.9371546774738263,-0.9856467409658899,-0.9799628503883822,0.6939547450185748,0.7228976697061804,0.5728957344847515,0.6926958295226175,0.2120322074681012,0.25704973791465024,0.30942588263222826,0.3748805775834939,0.6569263366896119,0.7218946345303755
17,gb_k_best_mutual_info,k_best_mutual_info,12.253941774368286,0.040948343276977536,-0.8910233029381965,-0.8640121580547111,-0.9549408983451537,-0.9385021952043229,-0.9874907125970956,-0.979932455251604,0.6942924687605538,0.7212597095575819,0.575768072935604,0.6886874874016018,0.20910705209171843,0.251775545565074,0.3067341100685652,0.3686727699730322,0.6579822241861981,0.7197175414883585
18,gb_rf_importance,rf_importance,15.246342754364013,0.03994145393371582,-0.8883890577507598,-0.8602735562310031,-0.955224586288416,-0.9368253968253967,-0.9870246538331646,-0.9812191827085444,0.6948328267477203,0.7221546774738263,0.5771224580695782,0.6895193030108316,0.2128679349829735,0.25600536512952204,0.3109125085368834,0.3733260094426643,0.6584039072634593,0.721660138760155
19,gb_l1_importance,l1_importance,15.692835807800293,0.040866518020629884,-0.8902600472813237,-0.8593853427895983,-0.9559000337723742,-0.9364066193853429,-0.9877203647416414,-0.9803782505910166,0.6932792975346167,0.7228301249577845,0.57068644175553,0.6917929977214655,0.21036075243835667,0.2576768470931267,0.307310742843174,0.3754203448950807,0.6566845562683344,0.7217305947629449
20,svm_all_features,none,138.32336254119872,31.329733419418336,-0.9193042890915232,-0.901533265788585,-0.9511381290104695,-0.9347146234380277,-0.9782303275920297,-0.9639885173927727,0.6950354609929079,0.7136946977372508,0.6074548695923804,0.708816810712327,0.16315011027414741,0.19432788251266442,0.2571084307951336,0.3049440072789959,0.6244627452916054,0.7423057828294983
21,svm_k_best_f,k_best_f,41.209475421905516,12.482464027404784,-0.9193177980412024,-0.901469098277609,-0.9511381290104695,-0.9347720364741641,-0.9782303275920297,-0.9639885173927727,0.6950354609929079,0.71371158392435,0.6074548695923804,0.7089509975157732,0.16315011027414741,0.19432788251266442,0.2571084307951336,0.3049567764452269,0.6244741042449827,0.742303469445268
22,svm_k_best_mutual_info,k_best_mutual_info,42.916164779663085,13.21246771812439,-0.9210739614994935,-0.9066936845660252,-0.9492536305302263,-0.9360418777440055,-0.976872678149274,-0.9652870651806822,0.693887200270179,0.7081053698074975,0.5996932396013825,0.6760405917833457,0.16294156015558364,0.18665089222213055,0.2561030010865042,0.29247170507237885,0.6241487388803424,0.7139334545229279
23,svm_rf_importance,rf_importance,41.75493988990784,13.876908683776856,-0.9198243836541709,-0.9028385680513342,-0.9497399527186762,-0.9340121580547113,-0.9781222559945965,-0.964241810199257,0.694292468760554,0.7124282337048294,0.6017574948531449,0.6983750429754088,0.16419504235356225,0.19469352686349267,0.2578147318834053,0.30443924116717386,0.6255522748947793,0.7425060002931313
24,svm_l1_importance,l1_importance,43.6674467086792,15.290778064727784,-0.9187841945288755,-0.9009135427220534,-0.9507193515704155,-0.9344343127321851,-0.9781357649442757,-0.9638838230327591,0.6947652819993246,0.7138804457953395,0.6049229387832009,0.7084128853689059,0.1641946060562431,0.19558129623656756,0.25816136223441466,0.30645167230132303,0.6245137579872952,0.7427217352143309
25,voting_soft,none,140.30160970687865,21.34268674850464,-0.8987774400540358,-0.7878959810874705,-0.9541033434650457,-0.9003394123606888,-0.9877271192164809,-0.9623066531577169,0.6957784532252618,0.7833671057075312,0.5893405374491388,0.9088128812398597,0.19678427060904924,0.3668267386381381,0.29499179951313226,0.5226425970587381,0.6597645277305453,0.9518374785484177
26,stacking,none,53.51439909934997,0.6209980964660644,-0.854805808848362,-0.8148581560283688,-0.9274704491725767,-0.9327811550151976,-0.9678892266126308,-0.9797163120567376,0.6718000675447484,0.6499324552516041,0.48504458246574106,0.4271741746090833,0.24190570306040754,0.2673361531857673,0.32271290188936635,0.3282604377303421,0.6158707105692507,0.6303187371904372
