,Model,fit_time,score_time,test_profit_0.5,train_profit_0.5,test_profit_0.6,train_profit_0.6,test_profit_0.7,train_profit_0.7,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0,logistic,0.17800502777099608,0.027242183685302734,-0.0060857818304626814,-0.0037537993920972643,-0.0014049307666328947,-0.0004120229652144548,-0.0005538669368456603,-8.105369807497476e-05,0.6972644376899696,0.6997635933806146,0.5850818454194024,0.5943133682468626,0.2199702008931006,0.22508837666645984,0.3197019266796371,0.32649767735151614,0.6675699506251667,0.6722041542198396
1,rf,6.1554779529571535,0.41109404563903806,-0.01143532590341101,0.5307767646065519,-0.005173927727119217,0.5258747044917257,-0.0007294832826747721,0.39801249577845327,0.6876730834177642,0.9999831138129011,0.5435787146732229,1.0,0.21432822211023925,0.9999477670410029,0.30733629506488686,0.9999738801097035,0.6341243030558229,1.0
2,lgb,1.9685980319976806,0.12848520278930664,-0.008355285376561971,0.122161431948666,-0.004039175954069571,0.05808172914555894,-0.0004390408645727795,0.02029213103681189,0.6900371496116178,0.7964370145221209,0.5499074179826302,0.8834289067844695,0.22791212099397257,0.4268852859208991,0.3222052697163077,0.5754871846218521,0.6456796608970482,0.9028605138192421
3,gb,16.923198556900026,0.04654049873352051,-0.009159067882472139,0.020322526173590004,-0.0034042553191489357,0.013132387706855791,0.000303951367781155,0.004620060790273557,0.693819655521783,0.7228976697061804,0.5723913026022709,0.6926958295226175,0.21182343920087782,0.25704973791465024,0.30912966629014327,0.3748805775834939,0.6567414258135751,0.7218946345303755
4,svm,144.98915090560914,34.910485410690306,-0.004505234718000675,0.011285038838230326,-0.0024721377912867272,0.0093515704154002,-0.00018237082066869335,0.006798378926038501,0.6950354609929079,0.7136778115501519,0.6074548695923804,0.708682874725336,0.16315011027414741,0.19432788251266442,0.2571084307951336,0.30493124332466953,0.6244775431368021,0.7423104707567024
5,voting_soft,179.4427869796753,34.190365648269655,-0.007119216480918608,0.081870989530564,-0.002884160756501182,0.03538162782843634,-0.0008713272543059777,0.011502870651806822,0.6955758189800744,0.7835359675785207,0.5877554371629196,0.9085074317891862,0.19720137084617684,0.36755782277206994,0.295251576660211,0.5233345563022965,0.6595886920056355,0.9517749944253835
6,stacking,87.06872143745423,0.9738938808441162,-0.014454576156703817,0.006305302262749071,-0.0025802093887200266,0.006921648091860857,-0.003188112124282337,0.00566193853427896,0.6749071259709558,0.6682033096926714,0.49413718094154324,0.4837345860643776,0.24440917707781146,0.3099028098740749,0.32699842761942155,0.3762376026672253,0.6161982605836874,0.6658524537073045
